area,count
AL RITCHIE,126
CATHEDRAL,400
CENTRE SQUARE,7
DOWNTOWN,6
EASTVIEW,43
HERITAGE,243
LAKEVIEW,5
MCNAB,10
NORTH CENTRAL,411
OLD LAKEVIEW,49
ROSEMONT/MOUNT ROYAL,18
ROSS INDUSTRIAL,1
Unknown,1
WAREHOUSE DISTRICT,29
