geo_uid,geo_id_code,geo_name,prov_code,geo,regina_filter_tag,population_total,private_dwellings_total,median_after_tax_income_households,lim_at_prevalence_pct,lim_at_children_0_17_count,lim_at_children_0_17_pct,tenure_total,tenure_owner,tenure_renter,indigenous_identity_total,indigenous_identity_count,age_0_14_total,age_0_4_total,age_5_9_total,age_10_14_total,immigrant_count,visible_minority_count,lone_parent_family_count,couples_with_children_count,unemployment_rate_pct,education_no_certificate_25_64,education_bachelor_or_higher_25_64,tenure_owner_pct,tenure_renter_pct,indigenous_identity_pct,children_0_14_pct
2016S05077050015.00,7050015.00,0015.00,47,CT,CT_DGUID_PREFIX_2016S0507705,2170.0,930.0,60544.0,17.4,145.0,29.9,870.0,590.0,280.0,2155.0,385.0,420.0,145.0,135.0,140.0,370.0,410.0,170.0,220.0,8.6,250.0,195.0,67.816092,32.183908,17.865429,19.354839
2016S05077050016.00,7050016.00,0016.00,47,CT,CT_DGUID_PREFIX_2016S0507705,6355.0,2418.0,64811.0,14.3,380.0,25.8,2350.0,1500.0,855.0,6330.0,725.0,1250.0,425.0,420.0,405.0,1610.0,1915.0,365.0,745.0,5.4,465.0,570.0,63.829787,36.382979,11.453397,19.669552
2016S05077050017.00,7050017.00,0017.00,47,CT,CT_DGUID_PREFIX_2016S0507705,1890.0,883.0,60864.0,16.4,115.0,27.1,755.0,490.0,260.0,1805.0,440.0,375.0,150.0,140.0,85.0,250.0,245.0,170.0,160.0,10.1,185.0,185.0,64.900662,34.437086,24.376731,19.841270
2016S05077050018.00,7050018.00,0018.00,47,CT,CT_DGUID_PREFIX_2016S0507705,5300.0,2693.0,39893.0,40.3,935.0,57.7,2065.0,830.0,1235.0,5305.0,2370.0,1380.0,525.0,435.0,420.0,740.0,810.0,565.0,400.0,18.5,860.0,235.0,40.193705,59.806295,44.674835,26.037736
2016S05077050019.00,7050019.00,0019.00,47,CT,CT_DGUID_PREFIX_2016S0507705,4281.0,2024.0,47161.0,27.1,480.0,43.0,1770.0,1045.0,730.0,4245.0,1170.0,945.0,310.0,360.0,280.0,565.0,715.0,395.0,340.0,7.8,460.0,305.0,59.039548,41.242938,27.561837,22.074282
2016S05077050020.00,7050020.00,0020.00,47,CT,CT_DGUID_PREFIX_2016S0507705,3355.0,1537.0,60245.0,12.5,145.0,19.7,1470.0,1000.0,465.0,3335.0,545.0,640.0,255.0,230.0,155.0,475.0,430.0,265.0,330.0,8.1,165.0,315.0,68.027211,31.632653,16.341829,19.076006
2016S05077050021.00,7050021.00,0021.00,47,CT,CT_DGUID_PREFIX_2016S0507705,2526.0,1157.0,60851.0,15.4,155.0,25.6,1065.0,680.0,380.0,2565.0,440.0,520.0,210.0,180.0,135.0,435.0,510.0,180.0,265.0,7.1,165.0,275.0,63.849765,35.680751,17.153996,20.585907
2016S05077050022.01,7050022.01,0022.01,47,CT,CT_DGUID_PREFIX_2016S0507705,1763.0,797.0,44493.0,19.4,45.0,24.3,705.0,380.0,325.0,1215.0,155.0,155.0,70.0,50.0,40.0,180.0,195.0,85.0,80.0,7.3,90.0,145.0,53.900709,46.099291,12.757202,8.791832
2016S05077050022.02,7050022.02,0022.02,47,CT,CT_DGUID_PREFIX_2016S0507705,4691.0,1946.0,73449.0,7.6,155.0,16.0,1925.0,1530.0,395.0,4705.0,470.0,815.0,290.0,250.0,275.0,445.0,460.0,270.0,525.0,6.0,290.0,520.0,79.480519,20.519481,9.989373,17.373694
2016S05077050023.01,7050023.01,0023.01,47,CT,CT_DGUID_PREFIX_2016S0507705,2917.0,1187.0,77632.0,4.7,45.0,7.4,1180.0,1045.0,135.0,3035.0,280.0,525.0,180.0,190.0,155.0,315.0,295.0,135.0,365.0,6.4,135.0,330.0,88.559322,11.440678,9.225700,17.997943
