year,city_reported_replacements,coverage_note,source_note
2017,109,full_year,user-provided city-reported summary (to verify with official report URL)
2018,144,full_year,user-provided city-reported summary (to verify with official report URL)
2019,180,full_year,user-provided city-reported summary (to verify with official report URL)
2020,118,full_year,user-provided city-reported summary (to verify with official report URL)
2021,193,full_year,user-provided city-reported summary (to verify with official report URL)
2022,233,full_year,user-provided city-reported summary (to verify with official report URL)
2023,207,first_7_months,user-provided city-reported summary (to verify with official report URL)
