indicator,hier_id
tenure_total,9.1.1
tenure_owner,9.1.1.1
tenure_renter,9.1.1.2
median_after_tax_income_households,4.2.1.2
lim_at_prevalence_pct,4.4.3
indigenous_identity_total,6.1.1
indigenous_identity_count,6.1.1
age_0_14_total,1.2.1.1
private_dwellings_total,1.1.4
